policy,band,n,base_rate,flag_rate,recall,precision,roc_auc
global,<40,1289,0.12179984484096198,0.20248254460822343,0.5796178343949044,0.3486590038314176,0.7837264522518061
global,40-60,5376,0.10416666666666667,0.14787946428571427,0.3964285714285714,0.2792452830188679,0.711797727812055
global,60-80,9277,0.1142610757788078,0.20793359922388704,0.39716981132075474,0.21824779678589942,0.673093747201499
global,80+,3831,0.12190028713129732,0.22996606630122685,0.3576017130620985,0.18955732122587968,0.6133528709321777
age-stratified,<40,1289,0.12179984484096198,0.23118696664080682,0.6050955414012739,0.3187919463087248,0.7837264522518061
age-stratified,40-60,5376,0.10416666666666667,0.20610119047619047,0.4607142857142857,0.2328519855595668,0.711797727812055
age-stratified,60-80,9277,0.1142610757788078,0.1939204484208257,0.3754716981132076,0.22123401889938854,0.673093747201499
age-stratified,80+,3831,0.12190028713129732,0.18976768467762986,0.29978586723768735,0.19257221458046767,0.6133528709321777
