seed,test_roc_auc,test_pr_auc,recall_at_capacity,precision_at_capacity,lift,test_positive_rate,seconds
42,0.6839121398926495,0.23761716588136905,0.4015151515151515,0.2330574236937403,2.053584865729201,0.11348808981945077,2.9
1,0.6761302338149318,0.21743616222362605,0.39088092076139885,0.2243964421855146,1.9676160809254863,0.11404483037156704,3.1
7,0.6675429938387809,0.21640855349299545,0.3602292768959436,0.22015629210455404,1.9144278628245215,0.11499847885609979,3.3
13,0.685155847648486,0.23634347543070658,0.40804106073567153,0.22795698924731184,1.9429969553979598,0.11732236049779206,2.8
101,0.6819482298106405,0.22688895527995215,0.3956191327670988,0.22957198443579765,2.0349498790243326,0.11281456452670331,2.6
2024,0.6754882215402972,0.21598518855111581,0.3935795954265611,0.21644498186215236,1.901460599234924,0.11383090554137258,2.5
31337,0.6763477780468228,0.21823204881900077,0.3836589698046181,0.22142491030240902,1.9632287673215811,0.11278609706014925,2.5
