train_fraction,n_train_rows,n_train_patients,val_roc_auc,val_pr_auc,seconds
0.1,6384,4479,0.6313275521031754,0.17335209053765832,1.2
0.2,12620,8958,0.6402543537773958,0.1869829427617655,1.4
0.35,22218,15676,0.6555058361152544,0.19850249573715317,1.6
0.5,31752,22395,0.6638016059320516,0.2045132393185433,2.0
0.7,44451,31353,0.670554370781014,0.2102178836106946,2.0
0.85,53988,38072,0.6739145909631934,0.212905375139826,2.2
1.0,63605,44791,0.6777383113822298,0.21512146048767058,2.6
