feature,mean_abs_shap
number_inpatient,0.13928675766301157
discharge_group_Home,0.12529292894395724
prior_encounters,0.12331495507700853
discharge_group_Care_facility,0.09621327904485426
has_prior_inpatient,0.06407686475287404
payer_code_Unknown,0.061525961953534124
age_mid,0.06132378832252512
number_diagnoses,0.05568275451810767
prior_visits_total,0.049244386654688145
diag_1_group_Circulatory,0.04405622312237923
diag_1_group_Respiratory,0.04176606677989609
n_meds_active,0.039488757329076064
num_lab_procedures,0.03933622296817216
time_in_hospital,0.038132356276402775
meds_per_day,0.03661310202384165
procedures_per_day,0.03547020672706101
num_medications,0.0341733428395503
num_procedures,0.018312680199537357
discharge_group_Home_health,0.017176713907261484
diag_2_group_Respiratory,0.01616209656119522
insulin_No,0.015510614414497857
A1Cresult_Not_measured,0.015393259325480538
diag_2_group_Other,0.015166482697147893
n_meds_decreased,0.014865342291753651
number_outpatient,0.014741757930831847
diag_2_group_Diabetes,0.013806139585445047
medical_specialty_Unknown,0.013538764980625605
number_emergency,0.013516632922737446
n_med_changes,0.013244363832759919
diag_3_group_Other,0.012478046911419741
admission_source_group_Transfer,0.012290271969473741
diabetesMed_No,0.011818847882128537
diag_1_group_Musculoskeletal,0.011801054930918398
gender_Female,0.011739645616887028
diag_2_group_Neoplasms,0.010901945311675414
discharge_group_Another_hospital,0.010835906438146206
payer_code_HM,0.010334313478407018
medical_specialty_Cardiology,0.010049231198844415
insulin_Down,0.009830706461991327
diag_3_group_Circulatory,0.009813192090711043
A1Cresult_>8,0.008864774269891797
diag_3_group_Diabetes,0.008150591267911638
admission_source_group_Unknown,0.007754092046547465
admission_type_group_Unknown,0.007724549090061805
admission_type_group_Emergency,0.007710411529893952
admission_source_group_Referral,0.007599233789495723
admission_source_group_Emergency_room,0.007520694661548884
medical_specialty_Orthopedics-Reconstructive,0.007483016733032995
metformin_No,0.006899542369528291
metformin_Steady,0.006897312213319679
payer_code_BC,0.0068959008875485025
diag_1_group_Digestive,0.006851750367499358
diag_3_group_Respiratory,0.006774105026473529
admission_type_group_Urgent,0.006727141994782707
diag_1_group_Diabetes,0.006709567099535552
diag_1_group_Injury,0.006378807966778453
race_AfricanAmerican,0.00610058768006827
medical_specialty_Other,0.00587154590973294
payer_code_MC,0.005842019376959298
pioglitazone_Steady,0.005598932345584937
medical_specialty_Nephrology,0.005404412852399342
diag_1_group_Other,0.005131117160083315
glipizide_No,0.004720450148094983
pioglitazone_No,0.004647201095557452
diag_2_group_Circulatory,0.004467912452611586
diabetesMed_Yes,0.004451529426881494
medical_specialty_Emergency/Trauma,0.004319235729380471
admission_type_group_Elective,0.004298912276851855
gender_Male,0.004259224825255183
has_prior_emergency,0.004194509313534615
diag_3_group_Neoplasms,0.004189555917472116
payer_code_OG,0.004179947060490746
race_Caucasian,0.004129230253815652
diag_2_group_Digestive,0.00399915684139609
A1Cresult_>7,0.003921974254912371
diag_3_group_Genitourinary,0.003911705645514117
diag_1_group_Neoplasms,0.003643090225069952
payer_code_CM,0.003617265781106493
glyburide_No,0.003536831080428851
payer_code_UN,0.0034661275370083703
diag_1_group_Genitourinary,0.0034514943746760595
rosiglitazone_No,0.003350730226122383
insulin_Steady,0.003035360437301024
discharge_group_Unknown,0.0029959721287163704
glipizide_Steady,0.002977987095301456
glyburide_Steady,0.002910764847564712
change_Ch,0.002858928990412219
medical_specialty_InternalMedicine,0.00282915538610627
diag_2_group_Genitourinary,0.002760270707012017
payer_code_CP,0.002640027908041215
diag_2_group_Injury,0.00257784169961599
medical_specialty_Orthopedics,0.002466976684906684
medical_specialty_Family/GeneralPractice,0.002389909279743426
A1Cresult_Norm,0.002361671432234839
diag_3_group_Digestive,0.0023145747894335487
metformin_Up,0.0022833961484422824
change_No,0.0022449991649576835
insulin_Up,0.0021754036340271648
payer_code_MD,0.0021304406997802224
rosiglitazone_Steady,0.0019320365047521778
diag_2_group_Musculoskeletal,0.0019220240588920558
n_meds_increased,0.001613345647025662
max_glu_serum_Not_measured,0.0013939660597456634
payer_code_SP,0.0011885369809772454
glyburide_Down,0.0011144495025644091
glyburide_Up,0.001110429763213266
diag_3_group_Musculoskeletal,0.0010413365846102432
medical_specialty_Surgery-General,0.0010268994882038644
race_Unknown,0.0009698281052138731
race_Other,0.000959033426653081
payer_code_Other,0.0008984045595740273
max_glu_serum_>200,0.0008943714016574361
discharge_group_Other,0.000862902611813677
diag_3_group_Injury,0.0008330878235061991
metformin_Down,0.0008246785310302675
medical_specialty_Radiologist,0.0006693611828403885
race_Hispanic,0.0005941316481863827
max_glu_serum_Norm,0.000299419863373879
glipizide_Up,0.00020974313294301876
discharge_group_Left_AMA,0.0001971372866403758
diag_3_group_Unknown,0.00015002720549504706
max_glu_serum_>300,0.0001474915336348437
glipizide_Down,0.00013128521090700833
pioglitazone_Up,6.187915647692745e-05
rosiglitazone_Up,3.070487687142218e-05
diag_2_group_Unknown,3.008942338893549e-05
pioglitazone_Down,2.3062955953548732e-05
race_Asian,1.601117052378697e-05
diag_1_group_infrequent_sklearn,0.0
admission_type_group_infrequent_sklearn,0.0
rosiglitazone_Down,0.0
admission_source_group_infrequent_sklearn,0.0
