variant,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,n_features,seconds,pr_auc_delta,roc_auc_delta,adopt
A_current,0.676199010520947,0.005616313960448155,0.22001587428708516,0.006853536826506659,39.0,12.5,0.0,0.0,False
B_no_payer_code,0.6735710857544231,0.005857470119004887,0.21801023980441867,0.006937299980131469,38.0,12.1,-0.0020056344826664962,-0.002627924766523848,False
C_extra_features,0.6748642420890361,0.0059200918949724795,0.21955651935503723,0.005799583628224378,49.0,13.2,-0.000459354932047934,-0.0013347684319109376,False
D_extra_no_payer,0.6729622637592423,0.006146209916862891,0.21774583817085968,0.007132177949918031,48.0,13.0,-0.0022700361162254767,-0.003236746761704712,False
E_native_categorical,0.6752662417798243,0.005736006913921484,0.21935461074513007,0.00702675419483087,39.0,13.2,-0.0006612635419550872,-0.0009327687411226915,False
F_soft_vote_ensemble,0.6760270440043153,0.00541063043198711,0.21909442279452537,0.006477709521542484,39.0,38.8,-0.0009214514925597883,-0.00017196651663164975,False
G_smote,0.6740074118771262,0.0048246946503226395,0.2194298214487731,0.006131792947382424,39.0,34.9,-0.0005860528383120622,-0.0021915986438207913,False
