model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_brier,test_recall_at_capacity,test_precision_at_capacity,test_lift_at_capacity,fit_seconds
baseline_majority,0.5,0.0,0.1139919896061073,0.001038799329293787,0.5,0.11308106753539657,0.5,0.11348808981945077,0.10060907983065724,1.0,0.11348808981945077,1.0,2.8
logistic_regression,0.6577930091328559,0.005711383469023478,0.20370637196134272,0.005579116421588161,0.6534149193932625,0.19762758469402011,0.6667817039428117,0.21277057837571262,0.22667537832758985,0.35784313725490197,0.21009942438513868,1.8512905162064826,4.1
random_forest,0.6697910648588087,0.004579624088989191,0.2107631478140573,0.005960023812862962,0.6711360549688427,0.20531729579426158,0.6791653332511676,0.22514856682112605,0.19669288309210123,0.3877005347593583,0.22382299974273218,1.972215763775866,18.6
xgboost,0.6741827138809587,0.005599559637801824,0.22030277107993507,0.006239316010631743,0.675523595014907,0.21448076244168165,0.6840489897617079,0.23522046652802436,0.21640441955037615,0.3983957219251337,0.23094807543270474,2.0349983491670547,9.3
lightgbm,0.676199010520947,0.005616313960448155,0.22001587428708516,0.006853536826506659,0.6777383113822298,0.21512146048767058,0.6839121398926495,0.23761716588136905,0.20067433771636708,0.4015151515151515,0.2330574236937403,2.053584865729201,15.3
mlp,0.652861836000237,0.006445575318648798,0.20224083745698876,0.00798856196726585,0.651200105191543,0.19636169255893038,0.6653143875964546,0.22163600207862288,0.0962450062024542,0.3631907308377897,0.2083866018920992,1.8361979853888046,6.7
