model,val_roc_auc_80plus,val_pr_auc_80plus,test_roc_auc_80plus,test_pr_auc_80plus,n_test_80plus,test_roc_auc_overall,test_pr_auc_overall
global,0.6343460957713991,0.19223115167446658,0.6133528709321777,0.18235716154923526,3831,0.6839121398926495,0.23761716588136905
specialist_80plus,0.6026164136183257,0.18660581321278996,0.5876111084234888,0.1778167290056267,3831,,
weighted_x3,0.6287720136881322,0.19590658597064092,0.6086972020155469,0.18692703898235513,3831,0.6816958991003347,0.23552471693691063
weighted_x6,0.6189137511096948,0.19030226108203618,0.6002884808795484,0.17957047894863581,3831,0.6749785865419454,0.22837603978249843
