threshold_probability,calls_per_readmission_tolerated,net_benefit_model,net_benefit_call_everyone,net_benefit_call_nobody,net_true_positives_per_1000,advantage_over_best_alternative
0.02,49.0,0.09539601001984772,0.09539601001984772,0.0,95.39601001984772,0.0
0.025,39.0,0.0907609055082883,0.09075701519943669,0.0,90.7609055082883,3.890308851617341e-06
0.030000000000000002,32.33333333333333,0.08615205260114672,0.08607019569015543,0.0,86.15205260114672,8.185691099128756e-05
0.035,27.57142857142857,0.08153946253710181,0.08133480810305779,0.0,81.53946253710181,0.0002046544340440215
0.04000000000000001,23.999999999999993,0.07747306933697465,0.07655009356192788,0.0,77.47306933697465,0.0009229757750467693
0.045000000000000005,21.222222222222218,0.07299180780391473,0.07171527729785421,0.0,72.99180780391474,0.0012765305060605248
0.05,18.999999999999996,0.06829621466806143,0.06682956823100081,0.0,68.29621466806144,0.0014666464370606258
0.05500000000000001,17.18181818181818,0.06391859777790088,0.061892158539101336,0.0,63.91859777790088,0.0020264392387995406
0.06000000000000001,15.666666666666663,0.060433795924164785,0.056902223212181656,0.0,60.433795924164784,0.003531572711983129
0.065,14.384615384615385,0.056400844775366187,0.05185891959299548,0.0,56.40084477536619,0.004541925182370704
0.07,13.285714285714283,0.05340072184889896,0.04676138690263523,0.0,53.40072184889896,0.006639334946263731
0.07500000000000001,12.333333333333332,0.04978396694373026,0.041608745750757584,0.0,49.783966943730256,0.008175221192972676
0.08000000000000002,11.499999999999996,0.04657427014000205,0.03640009762983777,0.0,46.57427014000205,0.010174172510164281
0.08500000000000002,10.764705882352938,0.043158427385801515,0.031134524392842353,0.0,43.15842738580152,0.012023902992959162
0.09000000000000001,10.11111111111111,0.040265808131078946,0.025811087713682165,0.0,40.26580813107895,0.014454720417396781
0.09500000000000001,9.526315789473683,0.03789865805623104,0.020428828529779855,0.0,37.89865805623104,0.017469829526451187
0.10000000000000002,8.999999999999998,0.03595250538051326,0.0149867664660564,0.0,35.952505380513266,0.020965738914456862
